Y;surface;tourney_date;Opponents;O_hand;O_ht;O_age;O_rank
0;Grass;20190617;Gilles Simon;R;183;34.46954141;38
0;Grass;20190701;David Goffin;R;180;28.5639972621;23
0;Hard;20190729;Nick Kyrgios;R;193;24.2546201232;52
0;Hard;20190805;Rafael Nadal;L;185;33.1718001369;2
0;Hard;20190826;Rafael Nadal;L;185;33.2292950034;2
0;Hard;20191028;Jeremy Chardy;R;188;32.7063655031;65
0;Hard;20191111;Rafael Nadal;L;185;33.440109514;1
0;Hard;20191111;Stefanos Tsitsipas;R;193;21.2484599589;6
0;Hard;20191111;Alexander Zverev;R;198;22.559890486;7
0;Hard;20200106;Novak Djokovic;R;188;32.6269678303;2
0;Hard;20200120;Stan Wawrinka;R;183;34.8145106092;15
0;Hard;20200210;Vasek Pospisil;R;193;29.6344969199;104
0;Hard;20200217;Gilles Simon;R;183;35.1403148528;58
0;Hard;20200824;Roberto Bautista Agut;R;183;32.3613963039;12
0;Hard;20200831;Dominic Thiem;R;185;26.9924709103;3
0;Clay;20200921;Ugo Humbert;L;188;22.2395619439;41
0;Clay;20200928;Marton Fucsovics;R;188;28.6379192334;63
0;Hard;20201012;Reilly Opelka;R;211;23.1238877481;36
0;Hard;20201026;Kevin Anderson;R;203;34.4421629021;111
0;Hard;20210208;Novak Djokovic;R;188;33.7193702943;1
0;Hard;20210301;Dusan Lajovic;R;180;30.6694045175;27
0;Hard;20210322;Roberto Bautista Agut;R;183;32.9363449692;12
0;Clay;20210503;Cristian Garin;R;185;24.9253935661;25
0;Clay;20210510;Aslan Karatsev;R;185;27.6796714579;27
0;Clay;20210531;Stefanos Tsitsipas;R;193;22.8008213552;5
0;Grass;20210614;Jan Lennard Struff;R;193;31.1375770021;45
0;Grass;20210628;Hubert Hurkacz;R;196;24.3750855578;18
0;Hard;20210724;Pablo Carreno Busta;R;188;30.0205338809;11
0;Hard;20210816;Andrey Rublev;R;188;23.8220396988;7
0;Hard;20211004;Grigor Dimitrov;R;188;30.3874058864;28
0;Hard;20211101;Novak Djokovic;R;188;34.4476386037;1
0;Hard;20211115;Alexander Zverev;R;198;24.5722108145;3
0;Hard;20220103;Ugo Humbert;L;188;23.523613963;35
0;Hard;20220117;Rafael Nadal;L;185;35.6249144422;5
